feature,importance_mean,importance_std
precipitation_hours,0.02112082064782783,0.0018411953087950452
precip_to_et,0.01416412746465586,0.0006796454279629024
precip_anom_15d,0.006932469770534892,0.0002966745563517323
precip_anom_7d,0.006446994436728359,0.0003090247389547888
windspeed_10m_max,0.00526762204312962,0.0006289228754235611
precip_anom_30d,0.005169826816266802,0.0002983620840657952
precipitation_sum,0.0046082315157042935,0.0007787243114071065
shortwave_radiation_sum,0.0035313501323396648,0.0002362725961498933
precip_lag3,0.0031839429503262386,0.00016483878647052377
wind_u,0.003100728353904255,0.00024373187838497922
precip_lag1,0.0027205615300125072,0.00011676354163494778
precip_lag7,0.0019102281849736613,0.0002970486035070741
precip_lag2,0.0018155194569577555,0.0002528320964839219
et0_fao_evapotranspiration,0.0017742336863439585,0.0002976098762975314
wind_v,0.0016420369285120955,0.0001843102373050768
windgusts_10m_max,0.001633636394688165,0.00017459482286570266
rh_proxy,0.0014687014477413607,0.0003225808856373924
city,0.0014360526200379493,6.676076075868332e-05
temperature_2m_mean,0.0013777645775491232,0.00022469592066590654
month_sin,0.001323637533300559,0.0002770599999272426
apparent_temperature_max,0.0013150327856977413,6.342442899298291e-05
apparent_temperature_mean,0.0013088456893835716,0.00013678007554839374
apparent_temperature_min,0.0010933760984855139,8.141387865516475e-05
winddirection_10m_dominant,0.0009698678139613189,6.302339375352564e-05
dtr,0.0009572413907157351,0.00014342399513129377
latitude,0.0008376330465671433,9.852545123195276e-05
climate_zone,0.0007017590147206191,0.0001494410620278752
monsoon_phase,0.0006940692045580565,0.00011205788090561744
elevation,0.0006554392606398599,0.0002010947803573152
longitude,0.0006540391722504127,0.00018518202688223392
temperature_2m_max,0.00031009528805581166,4.063981770313147e-05
month_cos,0.00019563039153780437,0.0001555613359485645
temperature_2m_min,4.4112127184618245e-05,0.0003029886673213156
rain_today,3.39424701389183e-05,2.8156162153674544e-05
rain_yesterday,-0.00014235494308726762,0.0001148647376204189
