feature,mean_abs_shap
precipitation_hours,0.7178576657937533
precip_to_et,0.342219772918491
precipitation_sum,0.3210099571828201
monsoon_phase,0.23548687544454486
precip_lag2,0.189548220549343
climate_zone,0.1867921005611871
et0_fao_evapotranspiration,0.18012131321774852
rh_proxy,0.1784297951205932
month_cos,0.16014125360920575
windspeed_10m_max,0.15191575085312037
month_sin,0.14429920667609042
wind_u,0.1117752830833267
shortwave_radiation_sum,0.10896783445170186
precip_anom_30d,0.10691327018342245
apparent_temperature_mean,0.10628803588410297
apparent_temperature_min,0.10394166026726526
dtr,0.10341672300971809
precip_anom_15d,0.10153352327627985
precip_lag1,0.0988242364316828
precip_anom_7d,0.09583149827301497
precip_lag3,0.09506251215130017
precip_lag7,0.09484361874998903
elevation,0.09017914486516486
temperature_2m_mean,0.07556192052403558
wind_v,0.07312019306789473
city,0.07282553457519186
apparent_temperature_max,0.06965547148419765
windgusts_10m_max,0.06597340412434244
rain_yesterday,0.06392897456396472
longitude,0.06156350719714001
winddirection_10m_dominant,0.06145215832145034
latitude,0.060521050508762955
temperature_2m_min,0.03386646653267348
temperature_2m_max,0.0238792119754991
rain_today,0.007607028716743129
